book_id,author,auth_book_ID
267,Martin Andrew Sharp Hume,364
268,G. Ernest Smith,365
269,Kevin Klein,366
271,AMORC,367
272,Saiyid Athar Abbas Rizvi,368
273,William Ledyard Rodgers,369
274,William J Federer,370
275,Noel Malcolm,371
276,Ángel Flores,372
277,Viacheslav Shpakovsky,373
278,Rose-Marie Hagen,374
278,Rainer Hagen,375
278,Iain Galbraith,376
279,Jonathan Moorhead,377
280,Avril Hart,378
280,Susan North,379
281,Gerald Horne,380
282,Saikaku Ihara,381
282,William Theodore de Bary,382
283,Amanda Hughes,383
284,Adrian Tinniswood,384
285,Diz White,385
285,Randall Montgomery,386
286,Amanda Hughes,387
287,Sheilah Roberts,388
288,Kate Braithwaite,389
289,Angie Mangino,390
290,Karen Charbonneau,391
291,Rajmohan Gandhi,392
292,Miriam Cyr,393
293,Alan Charles Kors,394
294,Hugh R. Trevor-Roper,395
295,Paul Engle,396
296,Christopher Hill,397
297,S.G. MacLean,398
298,Johann Valentin Andreae,399
298,Felix Emil Held,400
299,Giovanni Pietro Olina,401
299,Cassiano Dal Pozzo,402
299,Helen Macdonald,403
300,William R. Reynolds Jr.,404
301,Annelisa Christensen,405
302,Julie Lipson,406
302,Po Chung-Ling,407
302,Pu Songling,408
303,David Rankine,409
303,Paul Harry Barron,410
304,Laura Gowing,411
305,David Rankine,412
306,Amanda Hughes,413
307,Gilles Néret,414
308,Carthusian Monks of the 14th-17th Centuries,415
309,Sally M. Walker,416
310,Sylvia Perrini,417
311,Hal Leonard Corp.,418
312,Charles River Editors,419
313,Susan North,420
313,Jenny Tiramani,421
313,Melanie Braun,422
314,J.H. Hunter,423
315,Natori Masazumi,424
315,Axel Mazuer,425
316,Guy Windsor,426
317,David Brandon,427
318,G.H.R. Parkinson,428
319,AMORC,429
320,Scott C. Patchan,430
321,Scott C. Patchan,431
322,Brandon H. Beck,432
322,John L Heatwole,433
322,William J. Miller,434
323,Mark A. Snell,435
324,Mark Lardas,436
325,Scott C. Patchan,437
326,Thomas A. Lewis,438
327,Gary W. Gallagher,439
328,Scott C. Patchan,440
329,Daniel T. Davis,441
329,Phillip S. Greenwalt,442
330,Charles R. Knight,443
331,Jeffry D. Wert,444
332,Mark Lardas,445
332,Adam Hook,446
333,Gary W. Gallagher,447
333,Dennis E. Frye,448
333,A. Wilson Greene,449
334,George E. Pond,450
335,Adolfo Ovies,451
336,Gary W. Gallagher,452
337,U.S. Department of Defense,453
338,Alexander Neil,454
338,Richard R. Duncan,455
339,Raymond K. Bluhm,456
339,U.S. Army Center of Military History,457
341,Francis H. Buffum,458
342,U. S. Government Clifton Melvin Nichols,459
343,unknown author,460
344,unknown author,461
345,Heidi C. Eads Jones,462
346,unknown author,463
347,Raymond K. Bluhm Jr.,464
349,Francis H. Buffum,465
351,Various,466
352,John Henry Anderson,467
353,Military Historical Society of Massachusetts,468
354,Military Historical Society of Massachus,469
355,George E. Pond,470
356,George E. Pond,471
357,unknown author,472
358,Herbert E Hill,473
359,Francis H. Buffum,474
360,Fernand Braudel,475
361,Avril Hart,476
361,Susan North,477
362,Amanda Hughes,478
363,George Lakoff,479
364,Amanda Hughes,480
365,Fernand Braudel,481
366,Andrea di Robilant,482
367,Fernand Braudel,483
367,Sian Reynold,484
368,Lauren Stowell,485
368,Abby Cox,486
369,Neil Postman,487
370,Alain Corbin,488
370,Susan Pickford,489
371,Roy Porter,490
372,Lauren Stowell,491
372,Abby Cox,492
373,Amanda Hughes,493
374,Mimi Matthews,494
375,Jim Williams,495
376,Penelope J. Corfield,496
377,Shannon McNear,497
377,Angela K. Couch,498
377,Carla Gade,499
378,Roger Chartier,500
379,Sophia Lee,501
380,Gail Marsh,502
381,Bella Bathurst,503
382,Alan Charles Kors,504
383,Emanuel Swedenborg,505
383,Kenneth Ring,506
383,Emanual Swedenborg,507
384,Jean Delumeau,508
385,Serena Dyer,509
386,Susan North,510
387,Terry Melanson,511
388,Azie Dungey,512
389,Kirstin Olsen,513
390,Mark Fiddes,514
391,Baisao,515
391,Norman Waddell,516
392,Faith Cook,517
393,William R. Reynolds Jr.,518
394,Siân Rees,519
395,David Damrosch,520
396,Douglas F. Kelly,521
397,Charlotte Lennox,522
397,Ruth Perry,523
397,Susan Carlile,524
398,Mike Rendell,525
399,Wesley Greene,526
