id,genre,genre_link
337,dark-fantasy,https://www.goodreads.com/search?q=dark-fantasy
338,dc-comics,https://www.goodreads.com/search?q=dc-comics
339,death,https://www.goodreads.com/search?q=death
340,deception,https://www.goodreads.com/search?q=deception
341,democratic-republic-of-the-congo,https://www.goodreads.com/search?q=democratic-republic-of-the-congo
342,demons,https://www.goodreads.com/search?q=demons
343,denialism,https://www.goodreads.com/search?q=denialism
344,denmark,https://www.goodreads.com/search?q=denmark
345,design,https://www.goodreads.com/search?q=design
346,detective,https://www.goodreads.com/search?q=detective
347,diary,https://www.goodreads.com/search?q=diary
348,dictionaries,https://www.goodreads.com/search?q=dictionaries
349,diets,https://www.goodreads.com/search?q=diets
350,dinosaurs,https://www.goodreads.com/search?q=dinosaurs
351,disability,https://www.goodreads.com/search?q=disability
352,disability-studies,https://www.goodreads.com/search?q=disability-studies
353,disabled-communities,https://www.goodreads.com/search?q=disabled-communities
354,discipleship,https://www.goodreads.com/search?q=discipleship
355,disease,https://www.goodreads.com/search?q=disease
356,distrust,https://www.goodreads.com/search?q=distrust
357,divination,https://www.goodreads.com/search?q=divination
358,division,https://www.goodreads.com/search?q=division
359,divorce,https://www.goodreads.com/search?q=divorce
360,djibouti,https://www.goodreads.com/search?q=djibouti
361,doctor-who,https://www.goodreads.com/search?q=doctor-who
362,dogs,https://www.goodreads.com/search?q=dogs
363,domestic-science,https://www.goodreads.com/search?q=domestic-science
364,drag,https://www.goodreads.com/search?q=drag
365,dragonlance,https://www.goodreads.com/search?q=dragonlance
366,dragons,https://www.goodreads.com/search?q=dragons
367,drama,https://www.goodreads.com/search?q=drama
368,drawing,https://www.goodreads.com/search?q=drawing
369,dressmaking,https://www.goodreads.com/search?q=dressmaking
370,drinking,https://www.goodreads.com/search?q=drinking
371,dungeons-and-dragons,https://www.goodreads.com/search?q=dungeons-and-dragons
372,dungeons-and-dragons-manuals,https://www.goodreads.com/search?q=dungeons-and-dragons-manuals
373,dutch-literature,https://www.goodreads.com/search?q=dutch-literature
374,dying-earth,https://www.goodreads.com/search?q=dying-earth
375,dyscalculia,https://www.goodreads.com/search?q=dyscalculia
376,dystopia,https://www.goodreads.com/search?q=dystopia
377,earth,https://www.goodreads.com/search?q=earth
378,earth-sciences,https://www.goodreads.com/search?q=earth-sciences
379,eastern-africa,https://www.goodreads.com/search?q=eastern-africa
380,eastern-philosophy,https://www.goodreads.com/search?q=eastern-philosophy
381,ecclesiology,https://www.goodreads.com/search?q=ecclesiology
382,ecology,https://www.goodreads.com/search?q=ecology
383,economic-development,https://www.goodreads.com/search?q=economic-development
384,economics,https://www.goodreads.com/search?q=economics
385,education,https://www.goodreads.com/search?q=education
386,edwardian,https://www.goodreads.com/search?q=edwardian
387,egypt,https://www.goodreads.com/search?q=egypt
388,egyptian-literature,https://www.goodreads.com/search?q=egyptian-literature
389,egyptology,https://www.goodreads.com/search?q=egyptology
390,electrical-engineering,https://www.goodreads.com/search?q=electrical-engineering
391,elizabethan-period,https://www.goodreads.com/search?q=elizabethan-period
392,elves,https://www.goodreads.com/search?q=elves
393,emergency-services,https://www.goodreads.com/search?q=emergency-services
394,emotion,https://www.goodreads.com/search?q=emotion
395,empiricism,https://www.goodreads.com/search?q=empiricism
396,engineering,https://www.goodreads.com/search?q=engineering
397,english-civil-war,https://www.goodreads.com/search?q=english-civil-war
398,english-literature,https://www.goodreads.com/search?q=english-literature
399,entrepreneurship,https://www.goodreads.com/search?q=entrepreneurship
400,environment,https://www.goodreads.com/search?q=environment
401,environmental-science,https://www.goodreads.com/search?q=environmental-science
402,epic,https://www.goodreads.com/search?q=epic
403,epic-fantasy,https://www.goodreads.com/search?q=epic-fantasy
404,epic-poetry,https://www.goodreads.com/search?q=epic-poetry
405,equatorial-guinea,https://www.goodreads.com/search?q=equatorial-guinea
406,eritrea,https://www.goodreads.com/search?q=eritrea
407,erotic-historical-romance,https://www.goodreads.com/search?q=erotic-historical-romance
408,erotic-horror,https://www.goodreads.com/search?q=erotic-horror
409,erotic-paranormal-romance,https://www.goodreads.com/search?q=erotic-paranormal-romance
410,erotic-romance,https://www.goodreads.com/search?q=erotic-romance
411,erotica,https://www.goodreads.com/search?q=erotica
412,esoterica,https://www.goodreads.com/search?q=esoterica
413,esp,https://www.goodreads.com/search?q=esp
414,espionage,https://www.goodreads.com/search?q=espionage
415,essays,https://www.goodreads.com/search?q=essays
416,ethiopia,https://www.goodreads.com/search?q=ethiopia
417,ethnic,https://www.goodreads.com/search?q=ethnic
418,ethnic-studies,https://www.goodreads.com/search?q=ethnic-studies
419,ethnicity,https://www.goodreads.com/search?q=ethnicity
420,ethnography,https://www.goodreads.com/search?q=ethnography
421,eugenics,https://www.goodreads.com/search?q=eugenics
422,eunuch,https://www.goodreads.com/search?q=eunuch
423,european-history,https://www.goodreads.com/search?q=european-history
424,european-literature,https://www.goodreads.com/search?q=european-literature
425,evangelism,https://www.goodreads.com/search?q=evangelism
426,evolution,https://www.goodreads.com/search?q=evolution
427,experimental-archaeology,https://www.goodreads.com/search?q=experimental-archaeology
428,f-f-f,https://www.goodreads.com/search?q=f-f-f
429,f-m-f,https://www.goodreads.com/search?q=f-m-f
430,fables,https://www.goodreads.com/search?q=fables
431,fae,https://www.goodreads.com/search?q=fae
432,fairies,https://www.goodreads.com/search?q=fairies
433,fairy-tale-retellings,https://www.goodreads.com/search?q=fairy-tale-retellings
434,fairy-tales,https://www.goodreads.com/search?q=fairy-tales
435,faith,https://www.goodreads.com/search?q=faith
436,family,https://www.goodreads.com/search?q=family
437,family-law,https://www.goodreads.com/search?q=family-law
438,fandom,https://www.goodreads.com/search?q=fandom
439,fantasy,https://www.goodreads.com/search?q=fantasy
440,fantasy-of-manners,https://www.goodreads.com/search?q=fantasy-of-manners
441,fantasy-romance,https://www.goodreads.com/search?q=fantasy-romance
442,far-right,https://www.goodreads.com/search?q=far-right
443,fashion,https://www.goodreads.com/search?q=fashion
444,fashion-design,https://www.goodreads.com/search?q=fashion-design
445,fashion-designers,https://www.goodreads.com/search?q=fashion-designers
446,fashion-history,https://www.goodreads.com/search?q=fashion-history
447,fat,https://www.goodreads.com/search?q=fat
448,fat-acceptance,https://www.goodreads.com/search?q=fat-acceptance
449,fat-studies,https://www.goodreads.com/search?q=fat-studies
450,feminism,https://www.goodreads.com/search?q=feminism
451,feminist-studies,https://www.goodreads.com/search?q=feminist-studies
452,feminist-theory,https://www.goodreads.com/search?q=feminist-theory
453,femme-femme,https://www.goodreads.com/search?q=femme-femme
454,femslash,https://www.goodreads.com/search?q=femslash
455,ferdinand-and-isabella,https://www.goodreads.com/search?q=ferdinand-and-isabella
456,ferries,https://www.goodreads.com/search?q=ferries
457,fiction,https://www.goodreads.com/search?q=fiction
458,field-guides,https://www.goodreads.com/search?q=field-guides
459,fighters,https://www.goodreads.com/search?q=fighters
460,figure-skating,https://www.goodreads.com/search?q=figure-skating
461,film,https://www.goodreads.com/search?q=film
462,finance,https://www.goodreads.com/search?q=finance
463,financial-management,https://www.goodreads.com/search?q=financial-management
464,finnish-literature,https://www.goodreads.com/search?q=finnish-literature
465,fire-engines,https://www.goodreads.com/search?q=fire-engines
466,fire-services,https://www.goodreads.com/search?q=fire-services
